,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,87,-9.620882521158132,-10.977835058644521,true,0,18,989.0
1,324,8.852201504666954,-12.750006291932593,true,0,15,417.0
2,42,-4.005365673830111,14.87337749419965,true,0,22,2103.0
3,340,-5.107231476936541,1.80976339527875,true,0,26,799.0
4,43,-10.225949032332425,-14.500407609873198,false,36,0,739.0
5,43,3.039343231394335,-7.351389940064408,true,0,34,1826.0
6,212,-3.8998781880174804,3.7486186944103714,false,31,0,2420.0
7,86,8.082410339384058,0.8287505909088243,false,19,0,1696.0
8,74,-2.211526102318022,10.875140038904524,true,0,40,2382.0
9,315,15.66877407892663,-3.680009547464866,false,0,0,1005.0
10,277,16.251572546018146,14.722213040722725,false,49,0,2180.0
11,176,-16.806127045302222,-15.793833853324083,false,19,0,179.0
12,186,7.938026751456947,14.939937263860754,false,27,0,2280.0
13,140,-3.354661611001938,10.97271794750722,false,35,0,969.0
14,218,-12.746126185695356,14.487305468140633,true,0,17,176.0
15,299,-16.164287672662798,4.513761488116319,false,0,0,2555.0
16,204,-13.01705125741968,-11.481546226109565,false,0,0,647.0
17,140,6.762178193141762,5.8658553973070715,false,33,0,2423.0
18,183,-14.135903778348817,7.379740300171244,true,0,29,2450.0
19,235,-7.9982379364076115,-14.763838626257941,true,0,26,400.0
20,312,13.947614048382956,4.6424051220569655,false,0,0,1335.0
21,200,9.160247711618215,2.262992608610479,false,35,0,1307.0
22,214,9.656381957404802,1.1320927566396595,true,0,11,2113.0
23,79,-15.762244205830743,-10.970317816030201,true,0,22,1964.0
24,83,-0.0695894859465721,-3.4627351512549,false,34,0,2330.0
25,21,1.4585452547628306,4.217313343962103,false,0,0,2015.0
26,306,7.457895996827996,8.058864354571227,false,19,0,1873.0
27,54,13.241070613249725,-15.260261940026178,false,0,0,2478.0
28,188,11.666560462451208,5.773778200989594,false,33,0,2360.0
29,315,11.12238770554025,5.015953028053501,true,0,19,289.0
30,52,-12.019647761068937,15.610210506478914,true,0,39,1393.0
31,304,-8.506212668078852,9.103065199702653,false,51,0,139.0
32,1,-15.626093768698002,-4.703866036361069,false,20,0,370.0
33,277,9.391994676497099,1.996345887422789,true,0,15,304.0
34,198,-4.583295168208582,17.422978833657236,false,43,0,1648.0
35,237,4.748376861648266,4.6732388027052,true,0,38,1533.0
36,210,-16.19445222299177,13.190792072079956,true,0,29,1959.0
37,354,-1.575036518530751,10.006383697245191,false,19,0,420.0
38,251,14.081089635548064,14.905933901036803,true,0,34,596.0
39,150,8.988276046879069,-9.910122822020172,false,19,0,2060.0
40,131,-2.204910014544396,-13.158896190587136,false,26,0,2001.0
41,274,-13.750363297140662,8.18177429598699,true,0,7,1368.0
42,339,14.683827345406533,-10.485063268999875,true,0,31,1612.0
43,80,5.2166150782414125,16.869623481759714,true,0,31,1032.0
44,326,0.07552106986114504,-16.2503994199121,true,0,20,1628.0
45,60,8.325194284840443,-10.17897705273128,true,0,38,278.0
46,354,-16.616763842622984,-8.915476613739532,true,0,9,1715.0
47,49,-11.455687638726767,-2.8492096907214943,true,0,24,457.0
48,123,12.228344953682114,6.787907595759935,true,0,26,495.0
49,98,10.028813976065111,3.4136172478921067,true,0,22,1513.0
50,107,4.872861359729031,-8.842175902914466,false,19,0,2102.0
51,272,-0.5135295881704746,1.0988000132370355,false,19,0,739.0
52,45,-7.379639275310627,-17.470435598801707,false,0,0,2353.0
53,219,-7.748537846943695,-14.506699822416149,true,0,28,2264.0
54,217,-10.63157506624936,-4.439447439621709,false,0,0,523.0
55,298,12.877657966889444,13.969138380431648,true,0,21,1823.0
56,132,0.5725744031767827,4.102213783516305,true,0,20,1065.0
57,40,-0.2017700270202889,-2.0786384202837307,true,0,34,1254.0
58,98,14.789498911376237,12.450206754647596,false,0,0,2028.0
59,135,-8.62339916934515,-14.097300719666315,true,0,19,2367.0
60,92,-12.501036602294066,-15.237040887233288,false,30,0,86.0
61,203,-17.42775674653731,-13.216211323809903,true,0,31,368.0
62,109,10.525776998900977,-14.198791981339301,true,0,2,1352.0
63,202,-1.7323917988544504,9.441519526709701,true,0,28,1668.0
64,157,9.789215517545024,7.9211281152510455,false,0,0,721.0
65,269,16.24652628757292,-4.900725260110256,false,0,0,1077.0
66,99,3.674052781559181,13.94574194850217,false,44,0,1448.0
67,222,5.184629419600359,-1.5607242409638813,false,0,0,1997.0
68,260,-16.967874929284623,15.240502481880284,false,31,0,1478.0
69,128,-9.450777734729149,0.39665974766252166,true,0,20,2134.0
70,44,-3.958002403278339,-7.300013740292102,true,0,38,617.0
71,139,-16.204626857349513,4.382565324958728,true,0,23,332.0
72,36,-4.54661382791012,8.891698034289877,true,0,3,686.0
73,250,14.927650383895465,-10.95433316715092,false,46,0,1895.0
74,175,-9.636077662240442,-16.467373235071506,false,0,0,245.0
75,156,7.928770495004436,9.845648964944248,false,30,0,981.0
76,124,-12.28403013539909,16.657410792950756,false,0,0,1389.0
77,197,5.309288692999514,7.773365344544082,false,0,0,652.0
78,332,-9.859129282861607,7.837487140316591,false,51,0,1702.0
79,93,-13.676147599385246,-11.841309926687938,false,27,0,1951.0
80,,,,,,,
81,pcolor,plabel,plabel-color,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
