,heading,xcor,ycor,nearest-neighbor
0,186,-3.425500052927574,-14.2973536695799,{turtle 93}
1,236,31.32689782773322,28.604195112650153,{turtle 33}
2,291,-28.922117888819123,-10.541260623565199,{turtle 35}
3,345,11.446405999399843,-16.92872325684217,{turtle 82}
4,24.159392078081225,-28.33214462579926,-0.022321581282674696,{turtle 20}
5,203.58438594225427,-1.7814515783096303,29.500210848600496,{turtle 74}
6,232,-19.95610068906194,-0.9381292276301176,{turtle 56}
7,334,1.8457351997020952,8.38447992066307,{turtle 45}
8,70.5095281486715,33.93291363509454,-23.395635626838274,{turtle 87}
9,126,-27.0505084883733,21.707061438431186,{turtle 67}
10,243.5,-16.786665930366002,34.17580046391902,{turtle 68}
11,71.44538541191616,-8.306703456358294,25.39127323450366,{turtle 53}
12,262.75363450924243,-1.24858114294554,-6.634767833451225,{turtle 93}
13,196,7.369237221082585,28.104192922241367,{turtle 37}
14,200.04219297112712,-5.738618254851487,34.435779919569185,{turtle 5}
15,119.67859081970636,-3.300297800276228,-18.277650056561637,{turtle 73}
16,16.279623677042366,-13.727172350484754,20.9237078062262,{turtle 96}
17,228,-2.286331487036854,23.809219719456692,{turtle 43}
18,269.1597534866553,9.66183013576464,-13.485949250980026,{turtle 82}
19,295.5,19.18512750381114,1.7913225119348823,{turtle 77}
20,272.5,-27.50749863259058,-2.152307363772794,{turtle 79}
21,102.53995708103741,29.22166469333485,16.597039823596475,{turtle 70}
22,136.5,21.643426456576826,32.13607613193121,{turtle 83}
23,304,-9.310623131424972,-20.41142117738888,{turtle 85}
24,299.921395437775,-26.131383063260685,-4.060400882922257,{turtle 72}
25,5,-21.699566533560787,22.06377796926699,{turtle 66}
26,32,3.9256526641112126,19.88886646996167,{turtle 60}
27,148,-27.29155927509989,0.9746102779190302,{turtle 4}
28,17.5,-29.995716438435398,-2.89578907038843,{turtle 63}
29,235,34.29243634196122,-11.478442650223801,{turtle 31}
30,212.5,0.0976346909893371,-32.85735176656422,{turtle 14}
31,22.208983314055672,-33.53014580614521,-9.384080406953716,{turtle 98}
32,183,23.608797246248308,22.48258489039867,{turtle 75}
33,304.5,29.402006543006316,24.59014308136203,{turtle 1}
34,160.636976715264,23.308370879869152,13.252298078140347,{turtle 61}
35,344,-27.033060983552623,-13.502986779612609,{turtle 2}
36,69.76429222300726,25.93172434445539,-24.68259447419195,{turtle 64}
37,270.3077454249628,0.9030904238766595,24.22847929845767,{turtle 43}
38,339.5,-14.227124921270503,-29.486578407110734,{turtle 65}
39,262,13.539721199314362,-9.474302733463235,{turtle 82}
40,203,32.392737914767544,34.45863028557301,{turtle 58}
41,209.7077897635989,-5.1878679855156005,-24.54117798832852,{turtle 23}
42,355.75,-18.89710477422545,-17.93462981466723,{turtle 65}
43,236.95161870365718,-1.5713555598866973,25.05266697345192,{turtle 74}
44,324.5,-21.74283199229345,6.833095416392164,{turtle 49}
45,329,2.960779311124571,3.5340438004253585,{turtle 7}
46,219,-28.239419593739434,3.9537510604508252,{turtle 27}
47,343.95021140892334,26.592472646819775,5.529428707196961,{turtle 77}
48,27.5,-12.369816875290821,-4.028118641647673,{turtle 97}
49,154.5,-19.769991549075076,3.6959163683479073,{turtle 44}
50,107,-22.34890019302643,26.519798525116833,{turtle 90}
51,19.77891752235638,-4.455267118997394,23.124620522723877,{turtle 17}
52,10.954449366126823,-32.97547160759326,-7.770162939787541,{turtle 98}
53,118,-7.648704815411252,25.139691926632675,{turtle 11}
54,207.7264550338453,21.59622931007689,15.501778226681948,{turtle 69}
55,304.5,-24.589147644742905,-32.44503018947728,{turtle 76}
56,142.22089880430025,-22.397473322647592,-2.2182037430906734,{turtle 79}
57,88,9.714493441628058,9.688373940316621,{turtle 92}
58,320.5,33.66564934939063,-35.18014591533521,{turtle 81}
59,43,-27.206270499533826,-4.439857275117478,{turtle 63}
60,77.49099795196923,8.991926840339527,17.104212997405966,{turtle 26}
61,71.27970526465873,25.168277365294344,16.068598682601454,{turtle 70}
62,125.32268754075949,23.034988883182383,19.133117010426606,{turtle 69}
63,344.5,-30.599146591346592,-3.892319918610652,{turtle 28}
64,72.01905629734301,27.927570850993813,-23.993055620839222,{turtle 87}
65,340.06219619548233,-16.934147615686214,-25.517729757767658,{turtle 38}
66,73.5,-20.841151625724837,20.489519196816694,{turtle 25}
67,209,-28.36270994030351,25.703624355452806,{turtle 90}
68,35.070096117050866,-11.466769987589151,35.28368965271223,{turtle 10}
69,105.53362258017796,23.122896907425226,17.137721342445232,{turtle 54}
70,23,25.447525396440007,15.41956346309199,{turtle 61}
71,344,35.41473710332219,-7.51264121360103,{turtle 52}
72,92.56571977244886,-23.379969702189012,-4.192921070462018,{turtle 24}
73,155.63906158470775,-4.678430684757971,-18.7230779961736,{turtle 15}
74,99.78969590838113,-0.5299467477938603,25.894096640110774,{turtle 43}
75,161,22.039157250515053,22.850429711719716,{turtle 32}
76,332,-23.255289981905474,-25.90222563328405,{turtle 65}
77,356.5,25.390826917909543,7.198838871230264,{turtle 47}
78,134.5,-13.638413496811848,13.869766171188061,{turtle 88}
79,250,-26.35891291720312,-1.9057597365662216,{turtle 20}
80,210.3047437830153,5.87999499694778,-28.669959448149406,{turtle 95}
81,231.5048758452234,33.751135589092,34.0783509081243,{turtle 58}
82,284.57987674332765,13.317388071135587,-13.997204370642649,{turtle 18}
83,88.5,20.118307490608064,26.97198130840362,{turtle 84}
84,178.5,19.289906760203223,25.837874112886876,{turtle 83}
85,256.5,-7.595796406480605,-18.583588729335087,{turtle 73}
86,31,25.725685563116148,13.203443253138861,{turtle 70}
87,73.5095281486715,29.408312552781275,-23.071062106181287,{turtle 64}
88,337,-13.061115927195983,16.510348512411706,{turtle 78}
89,37.37636192594209,-31.453191396553574,-0.12398709035400818,{turtle 4}
90,164.860047062185,-26.606748801805583,25.62822158670772,{turtle 67}
91,55.20648692097387,-8.608012636542732,27.052152582946103,{turtle 53}
92,79.74549897598462,11.989138852897474,12.41201287059574,{turtle 57}
93,182.1504528464339,-4.223743870993885,-10.876354274895133,{turtle 97}
94,315,12.210758758366987,-0.9876409805371809,{turtle 19}
95,188.5,7.86357265572968,-34.83220232035167,{turtle 80}
96,10.5,-12.695050387764985,20.47403839481957,{turtle 16}
97,160,-6.9044920927806634,-9.384918007339017,{turtle 93}
98,74.00182243869494,-31.464425563725065,-9.602063426875503,{turtle 52}
99,117.5,-22.52419197725959,15.232334761835116,{turtle 66}
