,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,297,10.88244273426666,-4.737048236603977,false,0,0,1416.0
1,344,-12.468827442838412,13.075894735393527,true,0,24,2141.0
2,48,-4.526213281713031,9.434461522158031,false,0,0,1585.0
3,33,-3.761391865675258,6.064289628336638,false,0,0,2251.0
4,60,2.70141347222392,-8.250629444424249,false,0,0,855.0
5,251,14.148488099204947,11.169334191949241,false,0,0,2255.0
6,291,-13.887420816269351,-5.18705719325466,false,0,0,491.0
7,253,-10.160496266817665,-16.991338772513863,false,0,0,2506.0
8,314,11.978958257415641,-11.379205092071691,false,0,0,943.0
9,109,-17.090317210067763,-1.9551363840786349,false,0,0,1958.0
10,341,-7.067623801960196,-4.510488665158912,false,0,0,1056.0
11,117,2.9016570874341636,-9.20973262718741,false,0,0,1458.0
12,75,16.615252229856655,-17.15310464800156,false,0,0,953.0
13,3,-3.6836481120265376,9.282077081931437,false,0,0,2329.0
14,195,4.199857234178331,1.3385118687472173,false,0,0,1927.0
15,146,-15.24222559295687,-1.947288999867354,false,0,0,575.0
16,31,-0.059585163449056844,-11.48272515918533,false,0,0,1051.0
17,274,-15.867498022354827,-0.23287643065996652,false,0,0,776.0
18,176,5.131683450795857,15.530012533241303,false,0,0,592.0
19,234,8.328474260392676,-6.592429286958596,false,0,0,274.0
20,302,-14.361645573823711,8.175287884432807,false,0,0,2227.0
21,179,12.619061582521617,-0.6414144183394275,false,0,0,167.0
22,162,11.051362837521244,14.660330533940979,false,0,0,1217.0
23,129,-8.76853026578957,-1.8991599236955317,false,0,0,375.0
24,146,10.98461763726236,-11.370733337945337,false,0,0,1026.0
25,180,10.567213525481169,-13.204955914250737,false,0,0,776.0
26,310,-0.12236267391528188,-16.24067469920867,false,0,0,245.0
27,146,17.287445824783862,-5.153486116910791,false,0,0,330.0
28,95,5.853283450582355,-12.92838062371464,false,0,0,1944.0
29,181,8.548652244199179,11.315552835986,false,0,0,374.0
30,218,5.024035314276644,4.126243625209,false,0,0,1511.0
31,139,4.87797944739134,2.3643086580882695,false,0,0,2266.0
32,111,-15.78476477028703,7.021883923942137,true,0,7,2169.0
33,279,3.4788858792123594,-0.04761173644661443,false,0,0,558.0
34,26,-11.172819937101272,-11.182549330442558,false,0,0,2131.0
35,27,12.96837458296169,-2.859653923074402,false,0,0,1554.0
36,206,-16.98854721190609,-16.969087690322407,false,0,0,1820.0
37,197,15.230080413341064,-3.764748101441497,false,0,0,761.0
38,215,15.244736128250365,-0.22274304498077013,false,0,0,2412.0
39,183,3.0380618524100624,-7.451285264870789,false,0,0,2003.0
40,358,12.946862306810853,14.995086356378637,false,0,0,714.0
41,108,8.676361590978122,15.752666319447187,false,0,0,1858.0
42,17,-1.447980555429472,6.327720291317739,false,0,0,1115.0
43,273,-1.270106461287284,-14.49937596671203,false,0,0,1793.0
44,353,8.128663699313943,-12.486842656124043,false,0,0,1652.0
45,121,15.341532950284154,-4.213422601662544,false,0,0,848.0
46,262,10.528171825937575,9.983352630100452,false,0,0,1430.0
47,88,2.8926286908230234,-9.595136001291179,false,0,0,888.0
48,321,1.537660668144512,-7.890486521953899,false,0,0,1158.0
49,79,6.661198033730055,-5.101801529964221,false,0,0,754.0
50,88,-15.503986980870359,-17.067692462786088,false,0,0,1102.0
51,36,4.300486614021969,-10.814722990413916,false,0,0,2143.0
52,6,12.151678815084006,5.676278408895345,false,0,0,2043.0
53,17,10.331621203177649,-6.738113285456256,false,0,0,2539.0
54,238,0.15423809816438128,12.259425697985114,false,0,0,1460.0
55,222,-4.952795846472556,-2.785232206329769,false,0,0,1005.0
56,127,-3.750057249407791,8.62993976277476,false,0,0,2071.0
57,87,-8.870665770844276,-12.181701140055784,false,0,0,618.0
58,,,,,,,
59,pcolor,plabel,plabel-color,,,,
60,0,"""""",9.9,,,,
61,0,"""""",9.9,,,,
62,0,"""""",9.9,,,,
63,0,"""""",9.9,,,,
64,0,"""""",9.9,,,,
65,0,"""""",9.9,,,,
66,0,"""""",9.9,,,,
67,0,"""""",9.9,,,,
68,0,"""""",9.9,,,,
69,0,"""""",9.9,,,,
70,0,"""""",9.9,,,,
71,0,"""""",9.9,,,,
72,0,"""""",9.9,,,,
73,0,"""""",9.9,,,,
74,0,"""""",9.9,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
