,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,309,-10.48465153025451,9.491081630237264,false,0,0,1790.0
1,328,-15.882456422807076,-11.374032584584933,false,42,0,2599.0
2,175,1.7298285325518408,-8.698830809660102,false,25,0,1307.0
3,291,9.389237229388748,-14.180837786042847,false,0,0,2154.0
4,203,3.767230895310431,-6.320973677219344,true,0,39,2558.0
5,212,1.467906818234681,9.410565446239765,false,32,0,1052.0
6,180,8.059063197179698,12.519919939344371,false,17,0,742.0
7,13,-15.093127511603873,-14.426555124992538,false,0,0,781.0
8,50,4.370329304391025,-17.411693395527564,true,0,27,2199.0
9,340,9.173614129789883,-7.403682698941676,false,48,0,1700.0
10,20,-15.92255013730448,15.489277021284586,false,41,0,777.0
11,292,-7.017315015936472,-7.898038744454652,false,27,0,271.0
12,8,-0.8010006750489901,8.896001031478278,false,0,0,682.0
13,53,-7.811925298056574,7.323003903814397,false,15,0,717.0
14,348,2.7373541179491596,11.21075836152778,false,0,0,540.0
15,193,17.486281906456703,-5.485976770360055,false,32,0,2600.0
16,154,9.509233341583592,-0.6142473559340955,false,33,0,1598.0
17,169,1.3845837709100468,9.440607960086782,false,26,0,309.0
18,62,1.8430365393855754,15.670796998768386,false,9,0,1857.0
19,69,2.135895169304135,7.211724532792736,true,0,16,966.0
20,157,6.9385384762579845,-10.545462019324246,false,14,0,1337.0
21,334,-16.274426034323476,-14.017814912894671,true,0,24,779.0
22,321,5.907349015032653,3.5303598344905844,false,0,0,1223.0
23,8,-3.1713157618263876,-3.6053731039268264,false,0,0,1960.0
24,131,10.054002189111383,12.572673338628118,true,0,13,693.0
25,209,-0.4733778792878291,-4.771619894948423,false,0,0,870.0
26,208,13.985628390926665,10.307177599068131,false,31,0,2441.0
27,147,1.111271783472262,1.3841216037534996,false,19,0,1708.0
28,255,17.356509488844644,14.819386679599777,true,0,18,1947.0
29,0,-10.378939598092527,13.207645203726322,false,22,0,154.0
30,281,-0.3541811907754139,-15.990826078792344,false,15,0,2445.0
31,127,10.299088894236107,14.113406675106102,true,0,38,416.0
32,5,9.72752336872658,-6.984474996594239,true,0,29,1610.0
33,10,5.78120524220906,-1.0411265332893054,false,23,0,671.0
34,166,5.849701885470766,-3.307983289044134,true,0,40,918.0
35,204,13.301555553488019,-13.967849283519305,false,52,0,347.0
36,22,10.07999208045837,9.926285232112452,false,4,0,742.0
37,89,7.790096340544008,10.778580073096204,false,8,0,2324.0
38,305,0.49631321024685715,11.283205175011528,false,33,0,1626.0
39,337,-0.37554516918679687,1.082734966968513,false,0,0,563.0
40,282,-10.512280939849274,-3.9627531138881666,false,0,0,1919.0
41,279,1.9491441488508205,11.297427234614828,false,12,0,2153.0
42,67,-5.006873596868261,10.023611967359548,false,0,0,1102.0
43,299,8.18051295169456,1.7507131526213522,false,0,0,1346.0
44,338,-13.740520407168034,-9.745447846227403,false,0,0,720.0
45,27,9.104489549177272,16.1054625805093,false,29,0,2396.0
46,27,-2.5026122423783272,1.4214650705918779,false,22,0,1718.0
47,223,1.214143978392934,-12.937236581846808,false,9,0,2138.0
48,232,12.992332536523957,8.296506545266359,false,0,0,1726.0
49,275,-10.396129274731676,-12.017022651888094,false,0,0,539.0
50,181,-14.409420910642892,7.494898676471974,true,0,31,1758.0
51,147,14.593602814858325,3.953999522314932,true,0,24,1740.0
52,94,-12.401206135695315,-15.083099440656763,true,0,38,1536.0
53,79,8.395237227970215,-16.753726759894278,false,48,0,860.0
54,301,9.03290396210336,9.268530733679079,false,40,0,1247.0
55,208,-12.948020357607286,-9.073886878813864,false,0,0,1972.0
56,76,9.392544962580521,-16.164874741025233,false,0,0,1496.0
57,332,-9.851366924758876,-10.14929474144671,false,18,0,2277.0
58,291,-0.7936423680761683,-11.730776612443455,false,0,0,1471.0
59,268,-4.054515000514333,5.769217743099334,false,0,0,1625.0
60,93,5.146973934729482,-0.37119401661214574,true,0,29,2036.0
61,337,2.590249499546782,-3.8126744444797405,false,0,0,1625.0
62,263,9.194771816492354,7.007533622521022,true,0,40,1977.0
63,264,8.56457219797435,-10.016131525179686,false,46,0,2480.0
64,254,-16.379377591134592,-2.301609386719039,false,18,0,2544.0
65,26,15.09046941839622,14.378685008135585,false,42,0,506.0
66,130,17.43964645481046,7.5407210908945395,true,0,9,1491.0
67,,,,,,,
68,pcolor,plabel,plabel-color,,,,
69,0,"""""",9.9,,,,
70,0,"""""",9.9,,,,
71,0,"""""",9.9,,,,
72,0,"""""",9.9,,,,
73,0,"""""",9.9,,,,
74,0,"""""",9.9,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
