,heading,xcor,ycor,nearest-neighbor
0,288.5,-23.15529948769648,4.964864156930703,{turtle 95}
1,307.5,-22.269460592430256,-8.279166662560483,{turtle 10}
2,66.13374405120794,34.620694419442096,17.847709649400617,{turtle 90}
3,50.058910784339105,28.363186081894778,-24.180253007700628,{turtle 99}
4,138.5,-33.14253345204442,-23.210371364409298,{turtle 37}
5,315.5,11.791295187178507,-7.48405782410183,{turtle 29}
6,76.5,22.324620815180474,18.76999692744731,{turtle 33}
7,141.25,16.02686214435965,-32.91594859922025,{turtle 44}
8,348.25,-2.6922841210615536,-25.024579436276014,{turtle 81}
9,133,-28.94616326325039,-0.35471538284992,0
10,202,-16.977831947536593,-17.919116283803024,{turtle 1}
11,98,-1.0468035629784875,35.42155638885627,{turtle 65}
12,43.5,14.087880430339654,-10.606124610550175,{turtle 29}
13,15.75,12.500825983060114,9.771608991550567,{turtle 22}
14,273.5,34.444161166493735,-28.639352970921163,{turtle 32}
15,253.5,-21.13158737488428,-0.41703878029272246,{turtle 47}
16,33.25,-29.255971976914942,31.467339732066712,{turtle 19}
17,163.25,3.5266889116308984,-13.158027893997774,{turtle 58}
18,271,-30.32876927722213,-5.125891734173594,{turtle 87}
19,122.75,-27.824552955473322,32.155615046580124,{turtle 16}
20,102,17.096753578088194,-13.281552190491075,{turtle 24}
21,113,-33.09853683884206,31.64555925572562,0
22,302.75,8.610057366840827,9.352343933398911,{turtle 13}
23,71.75,2.4014327438050933,-16.93364856092071,{turtle 54}
24,222.25,15.256236261513855,-11.511018221427712,{turtle 20}
25,208.0337768060042,30.544050024706475,18.37909048805243,{turtle 90}
26,88.25,-9.364616256626423,-28.6566222219058,{turtle 52}
27,203,28.41748940267624,23.554270190847795,0
28,7.75,15.389619457123024,3.757563912945388,{turtle 97}
29,228.5,12.552969195269995,-12.803600260987166,{turtle 12}
30,49.25,28.107304774625742,-10.93893165647427,{turtle 41}
31,167.5,-5.735991823595152,22.059593651960157,{turtle 73}
32,47.25,-17.844338228084553,-19.897363205887963,{turtle 14}
33,237.25,20.0610818087975,18.328286620948624,{turtle 6}
34,106,9.029780174689607,-32.053617906485584,{turtle 86}
35,126.94848840250688,14.214281496812049,-1.1141551855807919,{turtle 56}
36,238.00000000000003,23.917674787908382,19.232029087991716,{turtle 63}
37,154.75,-32.998015308336605,-25.86875254035476,{turtle 4}
38,256.25,18.89350805235486,11.255231215617775,{turtle 49}
39,58.5,-18.900833675601987,7.223987724558027,{turtle 0}
40,293.5,26.72364210751247,-14.226088141590207,{turtle 42}
41,223.25,25.23351131952664,-11.097098895375217,{turtle 30}
42,101.5,30.11995047190197,-15.79828255350145,{turtle 40}
43,318.5,-0.19586522369447035,5.380580366366681,{turtle 88}
44,286.75,-0.3761974509850977,-22.512743760000834,{turtle 70}
45,8.5,5.588697062890296,14.9982511394638,{turtle 78}
46,43.25,-32.728878039673496,0.9959684104606218,{turtle 48}
47,260.25,-19.132284869710446,-0.042699849939737466,{turtle 15}
48,246.75,30.425593705864504,-4.652711175100901,{turtle 46}
49,1,32.71211381436729,25.294413795784724,{turtle 25}
50,50.5,7.614006404181476,-16.906324644008258,{turtle 70}
51,225.25,29.104116211865918,-34.46165720408913,{turtle 75}
52,267,-11.542973105037008,-27.75737910055427,{turtle 26}
53,169,-28.609818706181734,11.359556638811362,0
54,206.5,-3.2761232368075017,-19.28072895212778,{turtle 23}
55,113,28.43037635536198,6.291835443437833,{turtle 84}
56,121.67429697583691,12.297372148493006,0.17657512734858502,{turtle 35}
57,302.75,-16.875952920591423,-35.48074917490317,{turtle 65}
58,58.16685955968774,5.427484424974852,-9.612623236940344,{turtle 17}
59,14.75,18.533003224787183,31.384966034565792,{turtle 69}
60,93,-8.022785624126854,-7.053261575236604,{turtle 18}
61,76.75,18.26828185511227,-8.664044830207438,{turtle 66}
62,86,2.274006295916682,17.602800484506997,0
63,231.25000000000003,23.952740749932932,21.75473073147814,{turtle 36}
64,104,24.40181488509356,15.207786860277007,{turtle 74}
65,193.5,-14.654715023086656,23.206449906598472,{turtle 57}
66,266,15.452463243561334,-8.215195777053237,{turtle 61}
67,69,-30.17556483874754,-22.807381218351637,{turtle 4}
68,260.25,-15.918934123519184,-1.66121141607564,{turtle 93}
69,8,18.632557564758763,29.283416504138632,{turtle 59}
70,339.5,6.392737690420867,-17.693964051862753,{turtle 50}
71,346.5,-20.817073795543326,29.95792779319687,{turtle 79}
72,232,-1.1453348025481696,7.275385781042425,0
73,92.75,-3.5831276195349133,20.909392906751226,{turtle 31}
