,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,325,7.177565372980036,7.200568284488933,true,0,33,1137.0
1,261,7.864659091874084,15.475889796230772,true,0,39,1154.0
2,61,5.969910502784365,-15.986102501364142,true,0,6,692.0
3,210,-14.141562852584922,6.403475462333694,false,0,0,1868.0
4,53,14.662624585267736,7.902278018262804,true,0,18,2005.0
5,278,-10.289128691298828,2.918968763193507,false,0,0,2183.0
6,18,12.68563160940885,16.2658591999462,true,0,16,1621.0
7,23,0.04668912847565171,9.95184706962033,false,0,0,2186.0
8,351,3.364541169248559,-15.502151456170736,false,0,0,2461.0
9,292,14.75900894000695,13.520943572688305,true,0,6,1962.0
10,116,-11.459113784736305,-14.12560136373611,false,0,0,997.0
11,262,15.115502711349968,-11.052007516785162,true,0,30,1817.0
12,82,10.520350023558477,5.865987885884952,false,0,0,560.0
13,176,6.595919866207306,0.9456816499499194,false,20,0,744.0
14,59,-11.64952886780843,10.34923854378226,false,0,0,1189.0
15,309,-12.084399846043747,-4.214276440045938,false,0,0,1704.0
16,200,-11.867807429179928,-7.9096455450150955,false,0,0,1303.0
17,325,0.9620029105408252,-1.8482329238038728,true,0,7,2433.0
18,226,12.791698146633372,8.523401685229196,true,0,7,1453.0
19,149,12.011746866912684,-2.698607152104416,false,0,0,2012.0
20,357,16.603973607621544,7.92327124570261,true,0,29,2511.0
21,248,-13.6328097264245,-10.745067836154536,false,0,0,1409.0
22,14,-0.47325060707605004,12.971995708214527,false,0,0,287.0
23,231,-14.45053409380251,-3.06250642149665,true,0,15,1718.0
24,336,2.091158192049825,1.1746367397418895,false,23,0,1879.0
25,285,10.149078333542935,-2.8596481968690206,true,0,2,1747.0
26,231,9.387666618619669,-3.0640732758255638,false,0,0,1243.0
27,105,14.475789718669304,-11.669245953683115,true,0,40,1119.0
28,84,6.123998536248884,-13.45546628489827,true,0,25,1100.0
29,62,-8.137851450002486,-10.637165773745718,false,0,0,1964.0
30,211,-4.7844461806076435,-1.8886527561906135,false,0,0,775.0
31,260,1.4636400844711965,-4.343586475595874,true,0,2,1985.0
32,156,17.48433001479254,16.837555976123433,false,0,0,1705.0
33,111,-11.758025689722214,-16.97627482771598,false,0,0,1321.0
34,178,-4.5873046089696015,-8.423012748701096,false,0,0,2511.0
35,213,4.6958152756482665,-5.282280475623416,false,0,0,2449.0
36,24,15.792302504148042,12.652744763371194,true,0,6,817.0
37,46,-12.99082108221679,-3.2102415330829293,false,0,0,2044.0
38,136,-10.246329541443163,7.598535844091717,true,0,30,1118.0
39,260,1.3255513116690483,-11.060068289388228,false,0,0,1542.0
40,118,-0.055704447917430566,-11.018145907749588,false,0,0,873.0
41,268,-13.844921314706328,-7.18420352257807,false,0,0,2151.0
42,164,5.28947436154173,1.6818381938873146,false,0,0,1820.0
43,137,9.79241160352821,3.485814839792332,true,0,4,1594.0
44,28,-6.142408283593921,-10.308485137517653,false,0,0,1446.0
45,30,-3.350618081485512,-7.3661531158277755,false,0,0,1283.0
46,335,-6.3976428796759635,-13.306635951475787,true,0,26,1640.0
47,,,,,,,
48,pcolor,plabel,plabel-color,,,,
49,0,"""""",9.9,,,,
50,0,"""""",9.9,,,,
51,0,"""""",9.9,,,,
52,0,"""""",9.9,,,,
53,0,"""""",9.9,,,,
54,0,"""""",9.9,,,,
55,0,"""""",9.9,,,,
56,0,"""""",9.9,,,,
57,0,"""""",9.9,,,,
58,0,"""""",9.9,,,,
59,0,"""""",9.9,,,,
60,0,"""""",9.9,,,,
61,0,"""""",9.9,,,,
62,0,"""""",9.9,,,,
63,0,"""""",9.9,,,,
64,0,"""""",9.9,,,,
65,0,"""""",9.9,,,,
66,0,"""""",9.9,,,,
67,0,"""""",9.9,,,,
68,0,"""""",9.9,,,,
69,0,"""""",9.9,,,,
70,0,"""""",9.9,,,,
71,0,"""""",9.9,,,,
72,0,"""""",9.9,,,,
73,0,"""""",9.9,,,,
74,0,"""""",9.9,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
