,heading,xcor,ycor,nearest-neighbor
0,44.7468710101906,-18.989100549007055,4.48388584426877,{turtle 58}
1,95.25,-4.819990121350171,27.76633199975948,{turtle 56}
2,129.75,1.847499439602648,-25.574588836372318,{turtle 61}
3,1.75,-12.176760880624098,35.15117410862308,{turtle 1}
4,231,-17.601269436048483,-7.447355561991005,{turtle 91}
5,73.25,-23.615791441879267,9.913369477124293,{turtle 71}
6,201.25,-1.4790119932887213,-23.53376927710621,{turtle 2}
7,336.41080709827907,-5.396507863602445,-16.290089988511244,{turtle 77}
8,137.49999999999957,19.592126064105333,-16.579985809799872,{turtle 9}
9,45.75,17.00757013484148,-10.288565105763663,{turtle 19}
10,264.2499999999999,34.70803388427631,7.017491054088761,{turtle 44}
11,200.5,11.925896150298813,-14.664967164473936,{turtle 19}
12,261.75,6.981870545721195,-14.57858879917827,{turtle 9}
13,214.50968066784873,7.824804598134868,8.811887720333614,{turtle 43}
14,26.75,-24.15468459865981,-3.1215186798230015,{turtle 41}
15,138,11.858108615539313,22.80838350150852,{turtle 40}
16,169.74999999999957,-10.776613287221164,-18.177467940994312,{turtle 93}
17,51.25,30.667901010619936,25.876364573133166,{turtle 70}
18,301.25,-20.75957235605892,-30.483575913362753,{turtle 89}
19,258.75,11.27132778931605,-10.149250233279805,{turtle 9}
20,356.25,-33.3554541250047,-19.17624693878341,{turtle 41}
21,114,14.644245858441069,-20.888226651745065,{turtle 61}
22,87.75,24.110114838258205,-25.447066213539333,{turtle 49}
23,103,25.489372947661202,21.3311769213996,{turtle 87}
24,313.4999999999999,-11.2765190358202,12.55154715525132,{turtle 8}
25,235.5,18.8391900630017,6.517429093493685,{turtle 70}
26,21,8.47596382149946,28.705387598024913,{turtle 98}
27,123.5,-33.04076319046763,22.663363748273127,{turtle 69}
28,319,-14.857624195594823,-0.8428411881384577,{turtle 91}
29,10.75,3.8976600516147992,20.959247370280295,{turtle 90}
30,179.75,21.566970055646344,22.614862539781914,{turtle 87}
31,170.75,28.39229499619253,28.643845122545528,{turtle 34}
32,204.74999999999983,0.44633706557651537,-5.88437337866787,{turtle 57}
33,180.2499999999999,-32.52088017253604,-12.19807071599836,{turtle 0}
34,20.25,28.28284150027632,-34.77010313579231,{turtle 31}
35,344.25,-4.893858806330244,25.72771531991924,{turtle 1}
36,212,-35.496190615762714,-24.05147544218655,{turtle 20}
37,201.75,-24.893404859023537,15.478828547019717,{turtle 99}
38,196.25,-3.0897995693031506,-8.172972452865062,{turtle 60}
39,225.25,-5.447459486850395,-13.896083941206863,{turtle 57}
40,201.4999999999999,9.973443874216661,25.581113567213123,{turtle 26}
41,202.5,-30.610088449425962,-20.475266285145118,{turtle 20}
42,160.75,35.17708368881039,-27.471543023567904,{turtle 12}
43,121.22496007973746,9.098372495207059,6.363715969481208,{turtle 13}
44,68.75,-28.6165125241216,7.862897350167547,{turtle 96}
45,233,-3.144024200584632,-32.70701636038396,{turtle 86}
46,148.75,27.881252218473175,-3.098529208761787,{turtle 68}
47,307,19.46337559451957,-30.96782193604839,{turtle 69}
48,31.25,5.232435206509758,34.64318859592424,{turtle 56}
49,85,27.347186733266525,-26.084248218013208,{turtle 22}
50,173,-29.237598631438004,12.621357333636077,{turtle 85}
51,61.25,33.044977880260866,18.770901759177985,{turtle 25}
52,251.7601432900965,-20.3606683987045,19.281468624356222,{turtle 75}
53,11.5,-24.662119753309227,-30.245236111660464,{turtle 50}
54,16.75,2.1450955567262207,-0.5953696362664065,{turtle 32}
55,226.5,34.169498820811505,-16.52998173846517,{turtle 14}
56,286.25,-5.408729013356668,28.928175987899472,{turtle 1}
57,48.1051486041099,2.854152846579686,-5.510634853250358,{turtle 32}
58,157.21964062919767,-19.017389043432647,2.493474511345238,{turtle 0}
59,220.75,10.631022218635511,-1.3755548155143669,{turtle 46}
