,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,337,2.524885649226105,14.107059316007655,false,0,0,1600.0
1,195,-10.94396643203722,1.0832000374595157,false,0,0,2117.0
2,235,-9.810416864314174,1.1900843487808563,false,0,0,1992.0
3,107,-1.7930194315426218,12.709621306098486,false,0,0,1415.0
4,292,-2.9199705703196104,-16.7696124057832,false,0,0,2452.0
5,212,-3.970254721330159,-14.595295552026464,false,0,0,2533.0
6,333,13.405780466769102,2.3118704166255237,false,0,0,660.0
7,56,-7.792154776740621,-5.425870546971797,false,0,0,813.0
8,245,-14.751876289343222,-17.17590585509189,false,0,0,476.0
9,253,-14.426944596505994,-15.842920294565747,false,0,0,1083.0
10,193,15.153365925090611,-6.518160730966285,false,0,0,2264.0
11,137,6.363738480267886,5.655358680562383,false,0,0,407.0
12,308,-2.5272220313222356,-11.499285178159298,false,8,0,1341.0
13,270,-8.051860120168715,-10.722850620952386,false,0,0,1784.0
14,41,3.6787717887123543,16.696821431629093,false,0,0,814.0
15,37,17.464482068857844,7.847807377000542,false,0,0,1515.0
16,122,2.023465970662931,-13.832663804238996,false,0,0,588.0
17,166,12.031878716862229,-12.47547946601379,false,0,0,2328.0
18,102,-12.564770784240338,15.013234356591177,false,0,0,1109.0
19,301,16.43417578467985,-16.939922628205128,false,0,0,1108.0
20,66,16.25944376926072,-5.2175772481095954,false,0,0,739.0
21,314,-12.912940342572512,-12.137943114286665,false,0,0,504.0
22,176,-14.195516533920909,-11.262848138426925,false,0,0,811.0
23,26,-12.20749606202404,3.383590855820989,false,0,0,1282.0
24,266,15.213174285328103,-8.000719580307642,false,0,0,1717.0
25,88,15.033250680217693,12.044772480769476,false,0,0,748.0
26,183,15.59473687378322,4.887943553778095,false,0,0,461.0
27,333,0.12424056709036524,-12.44440609922345,false,0,0,1780.0
28,183,0.5064293059461406,3.172668876108554,false,0,0,861.0
29,331,-15.615874321075562,16.200973395724084,false,0,0,2563.0
30,286,-5.720362209223607,-13.216841286859072,false,0,0,2395.0
31,50,12.96829555546396,-14.968224351192397,true,0,21,2054.0
32,24,5.030968278108996,7.88964682760841,false,0,0,1777.0
33,303,-8.639323086936223,-2.934465684942214,false,0,0,2340.0
34,36,-11.965311545473327,-8.301683862631673,false,0,0,1185.0
35,308,2.230019993763917,5.859203221465563,true,0,7,1691.0
36,154,-4.969444042263735,-6.237082665350159,false,0,0,798.0
37,312,-2.3288142954286872,-11.840648919510288,false,0,0,2050.0
38,130,6.453967178547285,-1.3305145180515878,false,0,0,814.0
39,254,-14.54451162021863,14.424425631527548,false,0,0,1005.0
40,209,5.845032749141578,12.249903585612303,false,0,0,1015.0
41,236,-3.0766820085065083,-4.070628091909072,false,0,0,500.0
42,,,,,,,
43,pcolor,plabel,plabel-color,,,,
44,0,"""""",9.9,,,,
45,0,"""""",9.9,,,,
46,0,"""""",9.9,,,,
47,0,"""""",9.9,,,,
48,0,"""""",9.9,,,,
49,0,"""""",9.9,,,,
50,0,"""""",9.9,,,,
51,0,"""""",9.9,,,,
52,0,"""""",9.9,,,,
53,0,"""""",9.9,,,,
54,0,"""""",9.9,,,,
55,0,"""""",9.9,,,,
56,0,"""""",9.9,,,,
57,0,"""""",9.9,,,,
58,0,"""""",9.9,,,,
59,0,"""""",9.9,,,,
60,0,"""""",9.9,,,,
61,0,"""""",9.9,,,,
62,0,"""""",9.9,,,,
63,0,"""""",9.9,,,,
64,0,"""""",9.9,,,,
65,0,"""""",9.9,,,,
66,0,"""""",9.9,,,,
67,0,"""""",9.9,,,,
68,0,"""""",9.9,,,,
69,0,"""""",9.9,,,,
70,0,"""""",9.9,,,,
71,0,"""""",9.9,,,,
72,0,"""""",9.9,,,,
73,0,"""""",9.9,,,,
74,0,"""""",9.9,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
