,heading,xcor,ycor,nearest-neighbor
0,278.2471966024079,-17.17609053418084,-8.046217972205833,{turtle 33}
1,36.08036882156978,-22.589853005910282,-30.59985383224801,{turtle 65}
2,106.6625099777998,-30.53658320523212,-32.45511787938976,{turtle 67}
3,136.68162295168133,20.96033708647972,-16.834874204163704,{turtle 73}
4,274.4222509619151,-28.33425701756056,-34.7888713783858,{turtle 27}
5,308.4424821125745,-25.69605306886056,8.620846040995309,{turtle 49}
6,75.29630096369851,-23.628499647765487,-33.85742622257635,{turtle 66}
7,144.3360329087167,-26.677063253895845,2.069311500895928,{turtle 61}
8,320.3269815058011,9.34966843763576,-32.432804923286355,{turtle 23}
9,214.29414459508087,-20.587622289721864,-31.287325590128898,{turtle 48}
10,120,-20.422841897414642,26.423792132029465,{turtle 41}
11,119.015825660281,-9.677221785162473,-34.60806694813656,{turtle 10}
12,238.26485233178528,-6.399931166432614,0.5713496196061699,{turtle 63}
13,207.16403146412017,13.323120090562826,22.07493861002001,{turtle 96}
14,324.985361846313,-11.54262898886288,-25.042349562545205,{turtle 76}
15,230.63009536123073,-8.157673845583403,33.2373549351557,{turtle 42}
16,113.79720244834891,14.50114502800909,9.681064148767472,{turtle 98}
17,249.81601855647284,9.760754577478936,17.03589081593215,{turtle 28}
18,139.60635532032134,15.152150957840716,29.7577719533669,{turtle 8}
19,233.83002801512794,-1.094151706682444,32.20330845025982,{turtle 57}
20,52.51844971539276,17.728750835921137,4.043348528461733,{turtle 29}
21,167.0400345488547,1.5669824559176808,-8.802295695048258,{turtle 99}
22,180.04414459508087,-6.03795721613085,-33.911483450002095,{turtle 9}
23,89.17286686942816,13.767087586940724,33.945642948122,{turtle 69}
24,351.7980723506283,8.974202826703715,-11.567251412506499,{turtle 35}
25,170.40757914406817,-3.694493022767909,11.370014159643446,{turtle 29}
26,114,-25.632515807888943,-9.382421812605505,{turtle 37}
27,152.55017426497557,-27.668244611740842,-34.25616837108015,{turtle 4}
28,49.18739762392647,12.267329997595839,17.96309147601992,{turtle 17}
29,357.14494172635597,16.143553540740086,3.3632198758510174,{turtle 52}
30,116.9125099777998,-32.73026730835901,-31.87713267369067,{turtle 2}
31,174.15754805391566,-30.420538899955343,18.05105634227062,{turtle 36}
32,72.58021718666873,21.423296226703293,-24.85089540923404,{turtle 84}
33,184.53855387628255,-11.933422797917954,-12.382117372624899,{turtle 49}
34,128.74053373882293,33.67224296024114,-20.403190078559696,{turtle 98}
35,321.47227765593914,7.034849489227369,-12.202975299014074,{turtle 24}
36,197.6963784789022,-29.856086403411126,16.344843803217888,{turtle 72}
37,340,-32.210934469213996,-5.305388421121704,{turtle 26}
38,64.24513383351746,-14.144625051996437,-19.1769971568346,{turtle 80}
39,146.9800279370255,-27.58946327435268,3.565154569583457,{turtle 7}
40,197.44821394754592,-4.007353531931184,15.81387304569331,{turtle 50}
41,162.6604175738309,-18.84564033890352,24.885256060734726,{turtle 10}
42,256.88009536123076,-9.274830797646647,32.576287705659105,{turtle 15}
43,257.25,-1.3786366718563114,-26.298836726640513,{turtle 24}
44,219.6052957685255,26.518751126510466,-34.34524724823105,{turtle 67}
45,168.23937643248416,-33.35285128451362,6.393765036083336,{turtle 95}
46,140.67316430774036,-31.25669147777066,4.401865480373533,{turtle 83}
47,116.79637180890711,12.648494752227554,26.724917942722243,{turtle 15}
48,2.751536352630012,-11.118393740695225,9.714016678506987,{turtle 33}
49,159.4348841409435,-11.617087096670112,-13.758508052684482,{turtle 33}
50,183.1982139475459,-3.8192383268701366,17.290987664474155,{turtle 40}
51,188.11312908809873,3.2338290265107745,9.322659610374526,{turtle 89}
52,63.39195770442956,16.889462569795437,1.5794042312314691,{turtle 29}
53,344.6968621830264,34.74348884317398,11.49442346616878,{turtle 46}
54,352.0790917653826,1.786238920445279,-16.55122744277607,{turtle 23}
55,143.87484113781636,24.92540066869889,-33.34795715195795,{turtle 34}
56,347.65895184485345,18.53480147877351,-28.6105657347349,{turtle 81}
57,50.495479422336246,0.42352645924429366,33.122143355001825,{turtle 19}
58,218.7931608297145,-27.534585813280817,11.150034270775414,{turtle 41}
59,177.27582143459273,-24.72551367003587,-26.855451754982525,{turtle 86}
60,260.6582656350711,4.394002411858334,-7.554978087557984,{turtle 52}
61,217.5860329087167,-27.496086650724767,1.384896684718694,{turtle 7}
62,157.46056468612218,27.32473838749344,11.887563818096973,{turtle 69}
63,188.50392181223788,-5.009960812067387,-1.1070410493681724,{turtle 12}
64,165.6816362989248,34.98370636283736,24.378445027891324,{turtle 6}
65,197.0960091759706,-25.4736579756696,34.60075263313448,{turtle 66}
66,145.1848533695519,-24.933475215530926,35.339921371370686,{turtle 65}
67,116.9125099777998,-29.170070637308864,-32.619922257068694,{turtle 2}
68,306.5456852073404,5.767036095366775,34.37512454926345,{turtle 69}
69,292.2956852073404,6.921995546701439,35.262369668694326,{turtle 68}
70,44.298216441668785,28.1909345028403,28.736310858949192,{turtle 87}
71,331.41855511639835,7.953177660145329,-28.409265022377728,{turtle 18}
72,234.44637847890218,-30.943360330989297,15.648509142942345,{turtle 36}
73,150.93162295168133,20.082127865547033,-15.488912017672673,{turtle 3}
74,254.98561872907473,2.6912844222352734,15.12859986620022,{turtle 82}
75,196.90892302083853,-16.304658210511043,2.221954585701183,{turtle 84}
76,205.83756230972764,-10.620574862104124,32.02323851418169,{turtle 42}
77,242.4904034265602,-21.487601361043584,-18.181304846784865,{turtle 34}
78,193.75075623717953,-12.51516877861037,-16.571155375434977,{turtle 0}
