,heading,xcor,ycor,nearest-neighbor
0,226.25,28.52298870217187,12.984960793403914,{turtle 34}
1,272.75,21.787046572236154,-8.805389416443782,{turtle 95}
2,14.75,33.70315151928862,5.068194056846224,{turtle 98}
3,203,31.704046796269758,4.488428714614146,{turtle 41}
4,162.25,-17.49512766965229,-33.0632785990772,{turtle 37}
5,180,10.558140149803839,30.7300005204993,{turtle 14}
6,24.25,-6.447637498937246,-26.07546172421395,{turtle 22}
7,157.5,-12.029002208944881,-31.64005880741851,{turtle 83}
8,200,5.970274728482799,-0.6370476341207648,{turtle 49}
9,145.75,-13.489388829993887,28.257250193678452,{turtle 24}
10,326.25,3.7401790060186135,-14.775117335426124,{turtle 30}
11,336,-26.896218552836157,-30.796572507867186,0
12,305,10.388546967677676,30.63365456000969,0
13,189.75,-3.588944255714874,-14.675616499817744,{turtle 69}
14,70.25,21.146738951222552,-20.093570219988017,{turtle 63}
15,288.5,-17.765296923355,19.82073222693134,{turtle 35}
16,196.25,-20.22718452078413,25.425700451775924,{turtle 9}
17,24.5,23.880391368133218,8.710966962348275,{turtle 92}
18,331.75,19.388190525792357,-12.890036798599077,{turtle 38}
19,313.5,-3.6325404661760547,18.471434437713086,{turtle 73}
20,55.25,-4.497596410408779,-32.98743032215682,{turtle 68}
21,264.75,12.999590116465914,1.1356513108835802,{turtle 72}
22,269.25,-6.94843059618295,-26.98858469725593,{turtle 6}
23,58,-30.4410538087917,-3.611568540792728,0
24,350.25,-17.1904471877596,-32.84796340016151,{turtle 9}
25,134,17.88444460574066,19.767462996415645,0
26,118.75,-28.28197081795959,31.34605947866295,{turtle 89}
27,203.75,-14.117598494506762,3.6159934915107605,{turtle 77}
28,252.5,17.184452798959224,25.01799211634129,{turtle 96}
29,48.75,-21.808959728526755,-8.276012919569439,{turtle 83}
30,214,5.090692100431344,-22.85090264364815,{turtle 10}
31,322.5,22.3245148573153,-25.819903820400693,{turtle 66}
32,85.5,16.18972645187257,25.429251166214843,{turtle 71}
33,45.75,2.9978825814855083,31.924068918373266,{turtle 49}
34,7.75,35.33207511476583,26.433556622817214,{turtle 0}
35,107.25,15.950646032056975,10.396129185308387,{turtle 55}
36,106.25,30.85006999082595,10.580571261036173,{turtle 8}
37,12.5,-20.07507980254536,-14.19699258044152,{turtle 93}
38,173.5,26.02666529086255,30.324809573587387,{turtle 67}
39,73.5,-10.609232363720428,28.887135434227,{turtle 56}
40,40.5,20.614306462681345,-8.746125511142395,{turtle 5}
41,322.5,30.224345503081008,13.867294143996888,{turtle 3}
42,15.25,-30.528931484945094,21.15937324536608,{turtle 57}
