,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,266,2.0053840143178556,-3.278821602256575,false,0,0,2001.0
1,25,-13.946763002286893,-8.940875331660836,false,52,0,1344.0
2,92,7.800054846685489,6.538695684220644,false,0,0,1742.0
3,299,-10.048911692972357,6.08210953045947,false,0,0,672.0
4,336,4.588407310719857,4.469184404416529,false,0,0,1320.0
5,168,14.26790594326583,7.921737835927479,false,0,0,1028.0
6,277,11.906607644812313,-7.132419097014315,false,0,0,2538.0
7,139,0.33084326471989933,-5.5677957217926055,false,0,0,2182.0
8,257,-11.028577405507308,2.059978231405659,false,0,0,444.0
9,41,3.4977366904424065,-0.3864259365766264,false,0,0,898.0
10,153,12.029257141575272,15.825998304960352,false,0,0,2480.0
11,19,1.299450730864626,12.416813749343328,false,0,0,2585.0
12,343,-13.139096149630964,-8.403555648450503,true,0,20,1573.0
13,58,7.577622288113794,-13.806612889916284,false,0,0,369.0
14,16,3.7070079041614026,12.03420334975512,false,0,0,744.0
15,224,-4.759301543332347,7.8842353666470375,false,0,0,2134.0
16,201,-2.6613945250221756,2.367644651643873,false,0,0,1336.0
17,338,9.607154754579524,-2.955494061954884,false,0,0,594.0
18,355,-15.962502203319914,-1.2518102164434872,false,0,0,1057.0
19,201,-15.45276642390542,-3.582251978930708,false,0,0,1252.0
20,135,-14.709085592361834,1.5472772165868633,false,0,0,2485.0
21,330,16.23209718843246,-12.622079289089026,false,0,0,987.0
22,218,5.827366991574913,-16.61388071805194,false,0,0,2188.0
23,206,-11.73105347006291,-16.19513605282872,false,0,0,2595.0
24,131,-9.435741565121752,13.119347693599837,false,0,0,1819.0
25,115,-4.871077004799745,15.776176099841917,true,0,10,1045.0
26,291,16.410851311666672,-17.074703186978333,true,0,36,1743.0
27,207,-1.1404274799197784,-11.693844575409175,false,0,0,517.0
28,115,0.8041525660762169,14.22610151294168,false,0,0,577.0
29,353,-11.287370978007337,15.101870027989582,false,36,0,684.0
30,35,-2.6512130221082906,5.49393115520116,true,0,4,1349.0
31,172,-1.4983255181483128,-4.017834503830098,false,0,0,2444.0
32,270,8.076908643375987,-16.863734671963883,false,0,0,2390.0
33,,,,,,,
34,pcolor,plabel,plabel-color,,,,
35,0,"""""",9.9,,,,
36,0,"""""",9.9,,,,
37,0,"""""",9.9,,,,
38,0,"""""",9.9,,,,
39,0,"""""",9.9,,,,
40,0,"""""",9.9,,,,
41,0,"""""",9.9,,,,
42,0,"""""",9.9,,,,
43,0,"""""",9.9,,,,
44,0,"""""",9.9,,,,
45,0,"""""",9.9,,,,
46,0,"""""",9.9,,,,
47,0,"""""",9.9,,,,
48,0,"""""",9.9,,,,
49,0,"""""",9.9,,,,
50,0,"""""",9.9,,,,
51,0,"""""",9.9,,,,
52,0,"""""",9.9,,,,
53,0,"""""",9.9,,,,
54,0,"""""",9.9,,,,
55,0,"""""",9.9,,,,
56,0,"""""",9.9,,,,
57,0,"""""",9.9,,,,
58,0,"""""",9.9,,,,
59,0,"""""",9.9,,,,
60,0,"""""",9.9,,,,
61,0,"""""",9.9,,,,
62,0,"""""",9.9,,,,
63,0,"""""",9.9,,,,
64,0,"""""",9.9,,,,
65,0,"""""",9.9,,,,
66,0,"""""",9.9,,,,
67,0,"""""",9.9,,,,
68,0,"""""",9.9,,,,
69,0,"""""",9.9,,,,
70,0,"""""",9.9,,,,
71,0,"""""",9.9,,,,
72,0,"""""",9.9,,,,
73,0,"""""",9.9,,,,
74,0,"""""",9.9,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
