,heading,xcor,ycor,nearest-neighbor
0,26.729306631107875,-13.366251678861417,-11.423580596681651,{turtle 67}
1,13.690685573985547,-17.23284476017163,2.8171890317223447,{turtle 66}
2,144.3217607648507,-0.34214721611611765,-21.114199763935098,{turtle 25}
3,130.25,0.11410841406147942,-4.575708648478383,{turtle 56}
4,172.4145010082165,21.408671408702507,-28.367670527473027,{turtle 6}
5,176.24404986092128,-7.496930949593615,-3.4915219939929982,{turtle 80}
6,346.3278587084483,22.364042434205615,-27.504251563079666,{turtle 4}
7,79.75,7.887574604961999,27.623791800075544,{turtle 96}
8,62.25,-27.933217474297386,17.56312810588087,{turtle 46}
9,348.0474198191354,-8.835990599928435,-6.522104747358709,{turtle 62}
10,46,-32.43155790179145,-17.182481425805285,{turtle 27}
11,328.4160529164734,-14.62370575326324,-15.001816880112267,{turtle 59}
12,48.78316483749393,-18.364117573962748,-7.503302710092816,{turtle 67}
13,110.41453231115719,-33.159961680862985,-9.734610210481993,{turtle 74}
14,132,6.506200223059372,-21.618211201954484,{turtle 41}
15,237.11769045339105,-34.10300856405912,13.596053378967536,{turtle 85}
16,273.25,30.779584680932455,16.401630117241137,{turtle 85}
17,33.240469072119595,-5.101024201988547,-24.277353186610846,{turtle 28}
18,193,26.85882763730186,33.6198035547888,{turtle 78}
19,275.08652322261446,31.625935334948316,9.280697832450306,{turtle 26}
20,343.11687666184065,-0.9807458048206394,-25.209147086243306,{turtle 51}
21,321.4172075804389,12.769143453673319,15.266969756152182,{turtle 87}
22,172.3725599823577,-3.7161287625414245,33.221092663648626,{turtle 58}
23,177.24870729632107,3.6977406255064675,11.02213828134261,{turtle 92}
24,94.9132462842474,12.526508515685777,34.18571129432734,{turtle 64}
25,6.413802081545555,-2.137940539751497,-20.200665254176588,{turtle 2}
26,95.08652322261446,32.372460955826725,8.761726860729102,{turtle 19}
27,227.02365804271773,-35.37821769170134,-20.10731584748613,{turtle 10}
28,258.5,-5.2079927949499805,-25.198133424157295,{turtle 17}
29,302.25,-27.80310047154506,-28.216294767372393,{turtle 52}
30,181.5971681324893,-16.117002476313314,-20.56124490975575,{turtle 11}
31,39.89381596209881,-34.34814518932998,-23.105305120696176,{turtle 61}
32,267.56554752958976,12.424107257954617,-9.640446303800696,{turtle 44}
33,258.0272955307005,22.96125014865362,-24.20067657234381,{turtle 48}
34,226,-30.724787799454592,-15.051201531834714,{turtle 10}
35,57,9.894860534723163,-19.832917421340394,{turtle 41}
36,162.25,2.0896370054915097,-32.967581402385946,{turtle 58}
37,94,26.227621762628313,22.6105852152501,{turtle 43}
38,216,29.8141039880194,-0.28658164181282275,{turtle 86}
39,300.6042570405875,-12.42717859523494,19.197497104350045,{turtle 97}
40,305,-1.0088926805881588,15.2712369966185,{turtle 45}
41,278.5,5.541665367811449,-21.17781472953629,{turtle 14}
42,37.5,-25.347544554482624,-6.114303205649064,{turtle 34}
43,269.5,25.833689279554356,19.897961099451056,{turtle 37}
44,88.75,13.593950636160677,-10.632975147534118,{turtle 32}
45,140.25,-0.8767506718820723,12.93705072442672,{turtle 40}
46,245.25,-32.764484034808774,18.24486464535134,{turtle 8}
47,196.75,-7.674440269096395,2.143121715544667,{turtle 5}
48,79,25.056793394780595,-22.441661466413407,{turtle 33}
49,269.88190114388885,4.7157451115165046,-32.76618003256659,{turtle 71}
50,153.5,31.288756185334,28.982060938422695,{turtle 78}
51,113.90566744522971,-1.901558871924466,-24.511349534102216,{turtle 28}
52,104.38254462407565,-23.642627262300675,-24.09795378786268,{turtle 29}
