,heading,xcor,ycor,sick?,remaining-immunity,sick-time,age
0,175,-9.454640127742165,-15.218808190400843,false,28,0,1928.0
1,164,4.323177211231774,-6.036944395662877,true,0,21,1585.0
2,192,13.72060952845409,10.267105565602964,true,0,21,531.0
3,84,9.919848389373916,4.661179373734328,false,0,0,2409.0
4,9,3.1450548626064667,12.851829115926282,true,0,35,775.0
5,295,4.5825776620029615,1.133972857744825,false,0,0,988.0
6,45,-5.380318011637021,7.793184236853277,false,0,0,1080.0
7,63,-9.720744777847022,3.6120448794008877,true,0,38,2467.0
8,89,10.796807500753644,-3.0866285716172617,false,0,0,2352.0
9,212,2.7046167670956196,2.338041492741948,false,46,0,103.0
10,85,-15.352381920771048,-16.764052244442766,false,25,0,143.0
11,74,-9.847005272539377,2.930444497202624,true,0,37,861.0
12,249,15.113473256211535,5.482701208661026,true,0,31,944.0
13,328,-0.28380175609831654,1.092954122429672,true,0,39,2221.0
14,103,-17.126233032800535,-12.705451751047733,true,0,37,1512.0
15,127,-1.2603771940958337,-9.293909034251682,true,0,17,194.0
16,157,14.451732286276773,6.0730159175426355,true,0,18,1403.0
17,348,6.106038045322496,3.3792977313361776,true,0,27,1908.0
18,32,3.2043764214182415,-7.44320979842568,false,51,0,1995.0
19,103,5.141736824052691,5.986505317591508,false,35,0,1535.0
20,275,15.255593664913484,-14.700688553662195,false,43,0,1153.0
21,188,7.101918554760112,4.159331188876092,false,0,0,167.0
22,20,14.491733732569209,-7.012419876294581,true,0,38,646.0
23,22,-6.318812803235771,-10.118614064886678,false,51,0,1533.0
24,199,-6.094083009536988,-0.05811224904744661,true,0,39,787.0
25,48,17.420252296469855,1.125094196428406,false,51,0,1651.0
26,197,3.6259318489505836,-3.328841072272289,false,21,0,1927.0
27,34,0.9711383483619366,-4.6093374048872775,false,21,0,1266.0
28,18,15.11692478386836,-0.4019886608667461,true,0,40,2243.0
29,254,9.242627925271226,-4.168819288564944,true,0,7,2006.0
30,110,-13.912554267715844,-15.809529284587713,true,0,22,1531.0
31,226,10.670806676774893,-4.829103706034686,true,0,10,740.0
32,101,1.7331371548583494,-16.350948067107968,true,0,15,1459.0
33,286,-15.042788664765252,-5.7088220845837885,true,0,20,2156.0
34,192,14.094301502508747,5.348624567855539,false,45,0,1795.0
35,188,17.287889353094407,-6.481756155749045,false,26,0,2073.0
36,42,-3.119340073192608,-2.236175770817079,false,47,0,176.0
37,252,-11.084225572834859,6.434367873389326,false,49,0,2109.0
38,357,-16.52654038403583,11.030398238447086,true,0,32,369.0
39,60,-15.745147909505333,0.3234267810292536,false,27,0,2324.0
40,189,16.925704155519067,3.675122572444445,false,21,0,670.0
41,86,-16.334162938831525,11.733381628730921,false,47,0,450.0
42,304,10.881634450306965,-16.888258052172855,false,32,0,1113.0
43,165,10.764228548559254,-17.299382129820295,true,0,40,1596.0
44,55,-1.7758827634659884,10.766253130470194,true,0,33,2505.0
45,306,-12.026069484054329,6.792121523733288,false,35,0,1191.0
46,325,2.725870059701774,3.977348584982228,true,0,37,352.0
47,69,-3.874650775443038,8.214458655843444,true,0,35,1096.0
48,207,11.967830269638789,15.95438979701735,false,37,0,747.0
49,35,-13.656808287589726,6.658920873614552,true,0,33,1440.0
50,125,-2.9439501656096994,-15.517054453216492,true,0,33,1941.0
51,301,10.54593996063419,-9.173586020600482,false,51,0,707.0
52,128,7.522323121771283,-8.767937158244713,true,0,8,1277.0
53,354,8.255010095318683,-7.122420255291746,true,0,19,1919.0
54,192,16.186009365579064,0.8382251886493725,true,0,26,917.0
55,109,1.5158540850101772,10.795406901431294,true,0,35,1360.0
56,230,15.877826762942714,4.536591724700337,false,0,0,481.0
57,151,10.136926557638049,-16.121047242358507,false,46,0,366.0
58,265,-15.829616597948982,13.507502186808885,false,0,0,490.0
59,221,14.973216095936701,1.0852582245332447,true,0,31,2183.0
60,323,2.96846319601078,14.487061778500959,true,0,21,2270.0
61,98,13.245940295348056,5.296778259354764,true,0,7,2286.0
62,350,2.4649367860781233,-8.215594368148931,false,42,0,2237.0
63,283,-14.259855613509638,-10.790965988925985,true,0,35,1385.0
64,168,11.471689339260392,17.030340085379244,false,21,0,1198.0
65,213,-9.852795976754976,11.023433663622281,false,49,0,319.0
66,163,-10.432261004604634,1.8615825994454616,false,30,0,1421.0
67,244,14.62890579066444,4.657714591684816,false,35,0,1103.0
68,104,15.02488972363832,11.502608776206122,false,0,0,2521.0
69,46,-11.56438775000349,2.0979658629123206,false,44,0,2346.0
70,3,-13.287639857497377,-7.081221700860294,false,45,0,1676.0
71,86,-1.0617181165344387,3.9765217486370577,false,0,0,1460.0
72,37,-6.926898061608723,14.336436060005596,false,35,0,1166.0
73,,,,,,,
74,pcolor,plabel,plabel-color,,,,
75,0,"""""",9.9,,,,
76,0,"""""",9.9,,,,
77,0,"""""",9.9,,,,
78,0,"""""",9.9,,,,
79,0,"""""",9.9,,,,
80,0,"""""",9.9,,,,
81,0,"""""",9.9,,,,
82,0,"""""",9.9,,,,
83,0,"""""",9.9,,,,
84,0,"""""",9.9,,,,
85,0,"""""",9.9,,,,
86,0,"""""",9.9,,,,
87,0,"""""",9.9,,,,
88,0,"""""",9.9,,,,
89,0,"""""",9.9,,,,
90,0,"""""",9.9,,,,
91,0,"""""",9.9,,,,
92,0,"""""",9.9,,,,
93,0,"""""",9.9,,,,
94,0,"""""",9.9,,,,
95,0,"""""",9.9,,,,
96,0,"""""",9.9,,,,
97,0,"""""",9.9,,,,
98,0,"""""",9.9,,,,
99,0,"""""",9.9,,,,
