,heading,xcor,ycor,nearest-neighbor
0,76.25,12.448439367993165,13.72663525498572,{turtle 64}
1,328.75,23.85550683208906,-8.630304341808323,{turtle 79}
2,163.75,26.385612306468726,-0.3400054068609012,{turtle 39}
3,45.5,-22.80351994941084,5.96263065720852,{turtle 55}
4,265.75,-16.674197089476888,-29.470628341214592,{turtle 67}
5,178,0.4903922046620943,-0.802953301007582,{turtle 26}
6,307,-28.225086834229135,26.257303898223796,{turtle 42}
7,87,-12.863565357399064,22.06816737625118,{turtle 61}
8,66.25,25.588784688907438,-6.10679366293825,{turtle 29}
9,128.5,30.989875943004936,21.99554861651689,{turtle 78}
10,146.25,24.798989572289734,-1.8084056391692842,{turtle 39}
11,123,-20.510403257320508,20.572622190709243,{turtle 95}
12,84.5,-33.25945489212855,-26.777958492328697,{turtle 82}
13,295.75,10.001925058215674,-4.594465467955517,{turtle 40}
14,279.25,-8.797663741750302,-27.030853398016248,{turtle 33}
15,299.75,0.596679039680696,-31.032764048690893,{turtle 47}
16,55.75,-28.627642534257692,-14.978113327675896,{turtle 56}
17,160,17.392546369912832,-15.965079503096922,{turtle 38}
18,97,-8.29374293659365,28.673589849318198,{turtle 70}
19,175.5,-27.754161734661423,-32.66850592811131,{turtle 37}
20,300.25,-15.316997320527044,-2.030827811117529,{turtle 74}
21,203.25,31.074168843099976,27.8797668331058,{turtle 49}
22,117.5,-26.928947802419376,35.32287521535307,{turtle 37}
23,250.5,-6.284123741119058,4.696497213445748,{turtle 69}
24,169.75,-7.183922975016805,-34.30676637099404,{turtle 67}
25,16.25,33.89242808792396,19.619343147528046,{turtle 68}
26,285,2.211381029339205,2.4455842160849772,{turtle 5}
27,237,3.872240623960853,29.198815778952635,{turtle 83}
28,290,9.13912743718622,-1.3059320253523872,{turtle 13}
29,114.5,24.81914176523177,-7.375519330450607,{turtle 8}
30,285,-6.1896083570078035,12.299375525039911,{turtle 23}
31,138.25,-4.339287511764324,6.424326288329919,{turtle 69}
32,96.5,-19.97177980273497,-35.329111877423216,{turtle 59}
33,42.5,15.451885126491447,-20.71332875937237,{turtle 48}
34,233.5,20.458855991363155,-20.804342009892263,{turtle 36}
35,200.25,19.63406480127135,4.965535153505348,{turtle 62}
36,157.75,19.096518051892115,-23.260754258335893,{turtle 48}
37,243,-28.405902423741882,-34.77727738691041,{turtle 22}
38,283.5,14.790993303211545,-13.515155925126322,{turtle 17}
39,289.75,24.73434345104618,-0.6367897028352317,{turtle 10}
40,356,11.496918812364449,-6.527830665992323,{turtle 13}
41,254.5,3.17386221099674,21.986257262038343,{turtle 83}
42,154,-28.769615516046624,21.299291851700794,{turtle 6}
43,353.25,-23.39066806301385,1.886525246052869,{turtle 46}
44,11.25,-25.790628973315606,31.03469308840824,{turtle 6}
45,302.25,34.306165228830494,1.5617759812375123,{turtle 3}
46,13.25,-20.212259794744483,0.5935527351275044,{turtle 66}
47,103.5,10.847861990251332,33.21438033731218,{turtle 76}
48,222.75,15.790889508377376,-23.19038180494303,{turtle 33}
49,56.75,-31.514999468002756,-32.009630252822944,{turtle 21}
50,349.75,-21.03855511770457,-7.290610249233792,{turtle 84}
51,291.75,34.44628537220798,12.739796646446253,{turtle 85}
52,307.75,-11.98562511984904,-15.264266023862787,{turtle 90}
53,36.25,-19.867590696141104,-13.763768364539535,{turtle 60}
54,167,22.628373090829598,-17.86677900799232,{turtle 34}
55,243,-26.111020071265457,6.0899829175706435,{turtle 3}
56,220,-28.10441879791674,-19.248554592989468,{turtle 16}
57,223,23.30982000320645,28.515231183263534,{turtle 63}
58,38.25,10.020210764664279,-24.947660640679718,{turtle 99}
59,207.25,-17.985373357817505,-35.07902681176315,{turtle 32}
60,209.25,-19.839620945843134,-14.142687008739996,{turtle 53}
61,283.5,-17.637155762443665,21.004051552950976,{turtle 7}
62,14.25,23.65232396820199,25.49451477512523,{turtle 78}
63,131.75,25.905272560084853,30.572228996298374,{turtle 57}
64,197.75,7.61793709674043,9.59189975331554,{turtle 72}
65,151.75,27.754443899291644,25.644534089434483,{turtle 78}
66,348,-19.75553593671808,2.292270796641699,{turtle 46}
67,225.25,-12.566713153518089,-31.288782524486408,{turtle 4}
68,210.25,33.69807328233173,15.918771047719922,{turtle 25}
69,45.75,-4.635096895453284,7.544815503386101,{turtle 31}
70,274.5,-9.055148755335853,26.05952997793399,{turtle 18}
71,185,-26.114714628126908,-5.056971365798941,{turtle 43}
72,257.75,3.6481835227336514,12.397775275748126,{turtle 64}
73,248.25,29.874653940418114,0.7910345876813328,{turtle 0}
74,80.25,-14.171268909303103,-0.832181974104548,{turtle 20}
75,191.25,2.813735831804133,-13.396634082772755,{turtle 91}
76,19.5,12.628406378607645,31.49710927521195,{turtle 77}
77,125.75,14.726640569845525,30.653416397603877,{turtle 76}
78,181.75,24.884869081163433,23.522002919619776,{turtle 62}
79,90,26.340313962307338,-9.151958145498941,{turtle 1}
80,2.5,0.5940045456469694,9.817234085237331,{turtle 5}
81,42,29.84770305195394,-33.029834352510385,{turtle 57}
82,192.5,-33.04729211352851,-28.193096951822266,{turtle 12}
83,315.25,7.340147202569607,28.420638822138304,{turtle 27}
84,230.75,-20.466911758082055,-9.607337688965213,{turtle 50}
85,185.75,34.583745883677175,13.59133686757985,{turtle 68}
86,103.25,-27.59265447754866,13.665689555505208,{turtle 93}
87,68.25,-15.662592324713074,-8.328657077668327,{turtle 84}
88,64,22.070809907606215,-8.04273461736661,{turtle 92}
89,327.5,-1.5886992698395919,32.65015715085819,{turtle 70}
90,357.25,-14.484740813885216,-16.46522927764648,{turtle 52}
91,271.5,-15.378956194495158,3.6195435600964876,{turtle 69}
92,169,20.838540210732997,-6.928912573231401,{turtle 88}
93,330.75,-29.459613894276625,13.905987047871982,{turtle 86}
94,266,-31.572971972019193,32.12917750942253,{turtle 32}
95,209.75,-25.679664793858667,19.089116018725857,{turtle 11}
96,286,34.112418938684,-26.35195697134686,{turtle 12}
97,266,-22.973409027741027,-17.724185449210232,{turtle 53}
98,104.75,16.75280372276845,-11.567573513975425,{turtle 38}
99,325.5,7.78459612600623,-21.10625481748602,{turtle 58}
